,,,TA_1m,,RH_1m,,DP_1m,,PA_1m,,SR_1m,,PRMeasQMR102_1,,PR_Slide_Sum,,PR_Sum1h,,PR_Sum1h,,GenWind_1m,,GenWind_1m,,GenWind_1m,,GenWind_1m,,GenWind_1m,,GenWind_1m,
date,time,status,Avg,status,Avg,status,DP,status,Avg,status,Avg,status,PR,status,PR_Slide_Sum1h,status,PR_Sum1h_CurrHour,status,PR_Sum1h_PrevHour,status,SpdAvg,status,SpdMax,status,SpdMin,status,DirAvg,status,DirMax,status,DirMin,
2010-08-02, 00:00:04,VALID,2.41398,VALID,79.2489,VALID,-0.816085,VALID,1023.42,VALID,-1,VALID,0,VALID,0,INVALID,0,VALID,0,VALID,2.42773,VALID,2.89844,VALID,2,VALID,177,VALID,188,VALID,170,
2010-08-02, 00:01:04,VALID,2.41716,VALID,79.2769,VALID,-0.808144,VALID,1023.44,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.3875,VALID,2.79688,VALID,2.10156,VALID,175,VALID,180,VALID,168,
2010-08-02, 00:02:04,VALID,2.41073,VALID,79.2884,VALID,-0.812432,VALID,1023.45,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.60469,VALID,3.39844,VALID,2,VALID,175,VALID,185,VALID,163,
2010-08-02, 00:03:04,VALID,2.41073,VALID,78.9972,VALID,-0.86285,VALID,1023.46,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.7707,VALID,3.29688,VALID,2.29688,VALID,176,VALID,185,VALID,169,
2010-08-02, 00:04:04,VALID,2.39789,VALID,78.4949,VALID,-0.962695,VALID,1023.49,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.86445,VALID,3.29688,VALID,2.5,VALID,175,VALID,182,VALID,168,
2010-08-02, 00:05:04,VALID,2.3561,VALID,78.5941,VALID,-0.986065,VALID,1023.5,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.85078,VALID,3.29688,VALID,2.39844,VALID,174,VALID,182,VALID,166,
2010-08-02, 00:06:04,VALID,2.31107,VALID,78.8395,VALID,-0.987219,VALID,1023.52,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.78828,VALID,3.20313,VALID,2.39844,VALID,174,VALID,182,VALID,167,
2010-08-02, 00:07:04,VALID,2.27568,VALID,79.0404,VALID,-0.986831,VALID,1023.51,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.88906,VALID,3.70313,VALID,2.39844,VALID,173,VALID,185,VALID,161,
2010-08-02, 00:08:04,VALID,2.24673,VALID,79.1777,VALID,-0.991262,VALID,1023.51,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.8125,VALID,3.20313,VALID,2.5,VALID,172,VALID,180,VALID,160,
2010-08-02, 00:09:04,VALID,2.20813,VALID,79.2528,VALID,-1.01589,VALID,1023.51,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.7957,VALID,3.10156,VALID,2.39844,VALID,172,VALID,180,VALID,164,
2010-08-02, 00:10:04,VALID,2.17921,VALID,79.338,VALID,-1.02936,VALID,1023.49,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.78164,VALID,3.20313,VALID,2.39844,VALID,170,VALID,178,VALID,164,
2010-08-02, 00:11:04,VALID,2.14064,VALID,79.4626,VALID,-1.04546,VALID,1023.51,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.83164,VALID,3.10156,VALID,2.5,VALID,169,VALID,174,VALID,166,
2010-08-02, 00:12:04,VALID,2.10523,VALID,79.5656,VALID,-1.06224,VALID,1023.5,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.88711,VALID,3.39844,VALID,2.60156,VALID,168,VALID,173,VALID,164,
2010-08-02, 00:13:04,VALID,2.06663,VALID,79.7309,VALID,-1.07147,VALID,1023.51,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.79609,VALID,3,VALID,2.5,VALID,167,VALID,172,VALID,161,
2010-08-02, 00:14:04,VALID,2.02805,VALID,79.8898,VALID,-1.08183,VALID,1023.53,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.67812,VALID,2.89844,VALID,2.5,VALID,168,VALID,172,VALID,164,
2010-08-02, 00:15:04,VALID,1.9926,VALID,80.05,VALID,-1.089,VALID,1023.52,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.64727,VALID,2.89844,VALID,2.29688,VALID,167,VALID,172,VALID,158,
2010-08-02, 00:16:04,VALID,1.98621,VALID,80.2319,VALID,-1.06419,VALID,1023.54,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.53454,VALID,2.79688,VALID,2.29688,VALID,167,VALID,171,VALID,163,
2010-08-02, 00:17:04,VALID,1.96686,VALID,80.4481,VALID,-1.04626,VALID,1023.55,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.56289,VALID,2.89844,VALID,2.29688,VALID,169,VALID,172,VALID,164,
2010-08-02, 00:18:04,VALID,1.95397,VALID,80.6032,VALID,-1.03248,VALID,1023.55,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.62422,VALID,2.89844,VALID,2.29688,VALID,168,VALID,174,VALID,162,
2010-08-02, 00:19:04,VALID,1.93794,VALID,80.7672,VALID,-1.02031,VALID,1023.57,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.6332,VALID,2.89844,VALID,2.39844,VALID,167,VALID,172,VALID,158,
2010-08-02, 00:20:04,VALID,1.95078,VALID,80.8016,VALID,-1.00196,VALID,1023.61,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.64883,VALID,3.10156,VALID,2.29688,VALID,169,VALID,174,VALID,161,
2010-08-02, 00:21:04,VALID,1.954,VALID,80.5778,VALID,-1.03677,VALID,1023.61,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.61484,VALID,3,VALID,2.5,VALID,170,VALID,176,VALID,164,
2010-08-02, 00:22:04,VALID,1.96048,VALID,80.3997,VALID,-1.0607,VALID,1023.62,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.65977,VALID,2.89844,VALID,2.39844,VALID,172,VALID,176,VALID,167,
2010-08-02, 00:23:04,VALID,1.94761,VALID,80.2446,VALID,-1.09967,VALID,1023.63,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.75898,VALID,2.89844,VALID,2.5,VALID,172,VALID,178,VALID,168,
2010-08-02, 00:24:04,VALID,1.93797,VALID,80.0818,VALID,-1.13684,VALID,1023.64,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.65586,VALID,3.10156,VALID,2.29688,VALID,174,VALID,178,VALID,169,
2010-08-02, 00:25:04,VALID,1.92188,VALID,80.0068,VALID,-1.16533,VALID,1023.68,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.59648,VALID,2.89844,VALID,2.29688,VALID,174,VALID,180,VALID,169,
2010-08-02, 00:26:04,VALID,1.88319,VALID,79.9369,VALID,-1.215,VALID,1023.7,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.60703,VALID,2.89844,VALID,2.29688,VALID,175,VALID,180,VALID,169,
2010-08-02, 00:27:04,VALID,1.84786,VALID,80.0284,VALID,-1.23381,VALID,1023.71,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.61016,VALID,2.89844,VALID,2.29688,VALID,174,VALID,180,VALID,169,
2010-08-02, 00:28:04,VALID,1.8157,VALID,80.0488,VALID,-1.2617,VALID,1023.75,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.48398,VALID,2.70313,VALID,2.20313,VALID,174,VALID,182,VALID,169,
2010-08-02, 00:29:04,VALID,1.78353,VALID,80.1009,VALID,-1.28417,VALID,1023.79,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.46211,VALID,2.60156,VALID,2.20313,VALID,176,VALID,180,VALID,173,
2010-08-02, 00:30:04,VALID,1.74168,VALID,80.2128,VALID,-1.30592,VALID,1023.82,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.40195,VALID,2.70313,VALID,2.10156,VALID,178,VALID,185,VALID,172,
2010-08-02, 00:31:04,VALID,1.71282,VALID,80.3781,VALID,-1.30597,VALID,1023.86,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.21602,VALID,2.39844,VALID,1.89844,VALID,179,VALID,185,VALID,172,
2010-08-02, 00:32:04,VALID,1.6807,VALID,80.5765,VALID,-1.30366,VALID,1023.86,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.1793,VALID,2.60156,VALID,1.89844,VALID,179,VALID,185,VALID,173,
2010-08-02, 00:33:04,VALID,1.64209,VALID,80.7316,VALID,-1.31509,VALID,1023.89,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.14805,VALID,2.5,VALID,1.79688,VALID,179,VALID,185,VALID,172,
2010-08-02, 00:34:04,VALID,1.62922,VALID,80.8206,VALID,-1.31261,VALID,1023.91,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.05391,VALID,2.39844,VALID,1.70313,VALID,181,VALID,191,VALID,171,
2010-08-02, 00:35:04,VALID,1.61632,VALID,80.8181,VALID,-1.32563,VALID,1023.95,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.07539,VALID,2.39844,VALID,1.70313,VALID,183,VALID,195,VALID,174,
2010-08-02, 00:36:04,VALID,1.61312,VALID,80.6935,VALID,-1.34981,VALID,1023.98,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.25234,VALID,2.5,VALID,1.79688,VALID,183,VALID,189,VALID,175,
2010-08-02, 00:37:04,VALID,1.60988,VALID,80.6057,VALID,-1.36781,VALID,1023.98,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.19219,VALID,2.5,VALID,1.89844,VALID,182,VALID,188,VALID,175,
2010-08-02, 00:38:04,VALID,1.62273,VALID,80.5816,VALID,-1.35937,VALID,1023.97,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.17031,VALID,2.5,VALID,1.79688,VALID,180,VALID,188,VALID,175,
2010-08-02, 00:39:04,VALID,1.63242,VALID,80.5244,VALID,-1.35961,VALID,1023.93,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.10703,VALID,2.29688,VALID,1.89844,VALID,178,VALID,185,VALID,171,
2010-08-02, 00:40:04,VALID,1.63889,VALID,80.4646,VALID,-1.36342,VALID,1023.93,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.16172,VALID,2.39844,VALID,1.89844,VALID,174,VALID,182,VALID,164,
2010-08-02, 00:41:04,VALID,1.61306,VALID,80.4175,VALID,-1.3966,VALID,1023.96,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.1375,VALID,2.60156,VALID,1.89844,VALID,175,VALID,182,VALID,169,
