,,,TA_1m,,RH_1m,,DP_1m,,PA_1m,,SR_1m,,PRMeasQMR102_1,,PR_Slide_Sum,,PR_Sum1h,,PR_Sum1h,,GenWind_1m,,GenWind_1m,,GenWind_1m,,GenWind_1m,,GenWind_1m,,GenWind_1m,
date,time,status,Avg,status,Avg,status,DP,status,Avg,status,Avg,status,PR,status,PR_Slide_Sum1h,status,PR_Sum1h_CurrHour,status,PR_Sum1h_PrevHour,status,SpdAvg,status,SpdMax,status,SpdMin,status,DirAvg,status,DirMax,status,DirMin,
2010-07-30, 00:00:04,VALID,11.8686,VALID,79.7245,VALID,8.47516,VALID,1010.37,VALID,-0.625865,VALID,0,VALID,0,INVALID,0,VALID,0,VALID,5.37422,VALID,6.89844,VALID,4.39844,VALID,85,VALID,95,VALID,70,
2010-07-30, 00:01:04,VALID,11.8689,VALID,79.7105,VALID,8.47286,VALID,1010.38,VALID,-0.500692,VALID,0,VALID,0,VALID,0,VALID,0,VALID,5.69805,VALID,7.10156,VALID,3.79688,VALID,86,VALID,96,VALID,76,
2010-07-30, 00:02:04,VALID,11.8688,VALID,79.7563,VALID,8.48119,VALID,1010.38,VALID,-0.375519,VALID,0,VALID,0,VALID,0,VALID,0,VALID,6.10781,VALID,7.70313,VALID,4.89844,VALID,84,VALID,102,VALID,73,
2010-07-30, 00:03:04,VALID,11.8623,VALID,79.8708,VALID,8.4961,VALID,1010.38,VALID,-0.375519,VALID,0,VALID,0,VALID,0,VALID,0,VALID,5.98281,VALID,7.29688,VALID,4.70313,VALID,84,VALID,97,VALID,69,
2010-07-30, 00:04:04,VALID,11.8364,VALID,80.0564,VALID,8.50514,VALID,1010.35,VALID,0,VALID,0,VALID,0,VALID,0,VALID,0,VALID,5.36602,VALID,6.89844,VALID,3.39844,VALID,83,VALID,96,VALID,74,
2010-07-30, 00:05:04,VALID,11.8044,VALID,80.195,VALID,8.49957,VALID,1010.32,VALID,-0.500692,VALID,0,VALID,0,VALID,0,VALID,0,VALID,5.81328,VALID,7,VALID,4.20313,VALID,80,VALID,95,VALID,67,
2010-07-30, 00:06:04,VALID,11.7751,VALID,80.3476,VALID,8.49909,VALID,1010.26,VALID,-0.250346,VALID,0,VALID,0,VALID,0,VALID,0,VALID,5.94922,VALID,7.29688,VALID,4.60156,VALID,82,VALID,92,VALID,71,
2010-07-30, 00:07:04,VALID,11.7493,VALID,80.4849,VALID,8.49918,VALID,1010.21,VALID,-0.125173,VALID,0,VALID,0,VALID,0,VALID,0,VALID,5.45586,VALID,7.10156,VALID,3.20313,VALID,81,VALID,97,VALID,70,
2010-07-30, 00:08:04,VALID,11.717,VALID,80.7583,VALID,8.51785,VALID,1010.25,VALID,-0.250346,VALID,0,VALID,0,VALID,0,VALID,0,VALID,5.07969,VALID,6.60156,VALID,3.5,VALID,82,VALID,92,VALID,67,
2010-07-30, 00:09:04,VALID,11.6787,VALID,80.944,VALID,8.51448,VALID,1010.27,VALID,-0.375519,VALID,0,VALID,0,VALID,0,VALID,0,VALID,5.61523,VALID,6.70313,VALID,4.29688,VALID,80,VALID,92,VALID,60,
2010-07-30, 00:10:04,VALID,11.6723,VALID,80.9872,VALID,8.51608,VALID,1010.29,VALID,-0.250346,VALID,0,VALID,0,VALID,0,VALID,0,VALID,4.80664,VALID,6.20313,VALID,2.39844,VALID,81,VALID,111,VALID,68,
2010-07-30, 00:11:04,VALID,11.6628,VALID,81.0254,VALID,8.51374,VALID,1010.32,VALID,-0.375519,VALID,0,VALID,0,VALID,0,VALID,0,VALID,5.03516,VALID,6.70313,VALID,2.5,VALID,81,VALID,100,VALID,66,
2010-07-30, 00:12:04,VALID,11.6493,VALID,81.0622,VALID,8.50731,VALID,1010.33,VALID,-0.375519,VALID,0,VALID,0,VALID,0,VALID,0,VALID,4.89883,VALID,6.29688,VALID,3.5,VALID,78,VALID,90,VALID,60,
2010-07-30, 00:13:04,VALID,11.6235,VALID,81.2924,VALID,8.52404,VALID,1010.35,VALID,-0.375519,VALID,0,VALID,0,VALID,0,VALID,0,VALID,4.93242,VALID,5.89844,VALID,3.5,VALID,81,VALID,94,VALID,69,
2010-07-30, 00:14:04,VALID,11.601,VALID,81.4234,VALID,8.52594,VALID,1010.35,VALID,0,VALID,0,VALID,0,VALID,0,VALID,0,VALID,5.43867,VALID,6.60156,VALID,4.20313,VALID,78,VALID,86,VALID,65,
2010-07-30, 00:15:04,VALID,11.6007,VALID,81.2632,VALID,8.49654,VALID,1010.35,VALID,-0.250346,VALID,0,VALID,0,VALID,0,VALID,0,VALID,5.65664,VALID,6.70313,VALID,3.89844,VALID,79,VALID,96,VALID,67,
2010-07-30, 00:16:04,VALID,11.6334,VALID,81.1093,VALID,8.50043,VALID,1010.33,VALID,-0.250346,VALID,0,VALID,0,VALID,0,VALID,0,VALID,6.22148,VALID,7.60156,VALID,4.60156,VALID,79,VALID,90,VALID,68,
2010-07-30, 00:17:04,VALID,11.6526,VALID,81.0966,VALID,8.51686,VALID,1010.33,VALID,-0.375519,VALID,0,VALID,0,VALID,0,VALID,0,VALID,5.71797,VALID,7.39844,VALID,3.70313,VALID,79,VALID,90,VALID,66,
2010-07-30, 00:18:04,VALID,11.6691,VALID,81.0038,VALID,8.51595,VALID,1010.31,VALID,-0.375519,VALID,0,VALID,0,VALID,0,VALID,0,VALID,5.84727,VALID,7,VALID,4.20313,VALID,79,VALID,92,VALID,67,
2010-07-30, 00:19:04,VALID,11.672,VALID,81.0419,VALID,8.52577,VALID,1010.28,VALID,-0.500692,VALID,0,VALID,0,VALID,0,VALID,0,VALID,5.67422,VALID,7,VALID,3.20313,VALID,78,VALID,90,VALID,59,
2010-07-30, 00:20:04,VALID,11.6916,VALID,80.9033,VALID,8.51963,VALID,1010.28,VALID,-0.625865,VALID,0,VALID,0,VALID,0,VALID,0,VALID,5.86953,VALID,7.20313,VALID,3.89844,VALID,78,VALID,98,VALID,60,
2010-07-30, 00:21:04,VALID,11.7172,VALID,80.78,VALID,8.52195,VALID,1010.27,VALID,-0.500692,VALID,0,VALID,0,VALID,0,VALID,0,VALID,5.85391,VALID,7.5,VALID,4.29688,VALID,76,VALID,91,VALID,62,
2010-07-30, 00:22:04,VALID,11.7493,VALID,80.6235,VALID,8.52461,VALID,1010.26,VALID,-0.375519,VALID,0,VALID,0,VALID,0,VALID,0,VALID,5.65352,VALID,7,VALID,3.89844,VALID,78,VALID,90,VALID,65,
2010-07-30, 00:23:04,VALID,11.7946,VALID,80.3489,VALID,8.51833,VALID,1010.29,VALID,-0.625865,VALID,0,VALID,0,VALID,0,VALID,0,VALID,6.1457,VALID,7.89844,VALID,3.70313,VALID,80,VALID,97,VALID,65,
2010-07-30, 00:24:04,VALID,11.8236,VALID,80.251,VALID,8.52859,VALID,1010.28,VALID,-0.500692,VALID,0,VALID,0,VALID,0,VALID,0,VALID,5.82695,VALID,7.60156,VALID,2.60156,VALID,80,VALID,90,VALID,63,
