,,,TA_1m,,RH_1m,,DP_1m,,PA_1m,,SR_1m,,PRMeasQMR102_1,,PR_Slide_Sum,,PR_Sum1h,,PR_Sum1h,,GenWind_1m,,GenWind_1m,,GenWind_1m,,GenWind_1m,,GenWind_1m,,GenWind_1m,
date,time,status,Avg,status,Avg,status,DP,status,Avg,status,Avg,status,PR,status,PR_Slide_Sum1h,status,PR_Sum1h_CurrHour,status,PR_Sum1h_PrevHour,status,SpdAvg,status,SpdMax,status,SpdMin,status,DirAvg,status,DirMax,status,DirMin,
2010-07-28, 00:00:04,VALID,9.62149,VALID,70.3235,VALID,4.47846,VALID,1012.78,VALID,-1,VALID,0,VALID,0,INVALID,0,VALID,0,VALID,3.41055,VALID,4,VALID,2.39844,VALID,36,VALID,48,VALID,24,
2010-07-28, 00:01:04,VALID,9.59868,VALID,70.4532,VALID,4.48294,VALID,1012.76,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,3.3543,VALID,4.29688,VALID,2,VALID,38,VALID,49,VALID,20,
2010-07-28, 00:02:04,VALID,9.55354,VALID,70.5969,VALID,4.46877,VALID,1012.73,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,3.78711,VALID,4.60156,VALID,2.10156,VALID,40,VALID,53,VALID,28,
2010-07-28, 00:03:04,VALID,9.55008,VALID,70.5156,VALID,4.44894,VALID,1012.69,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,4.04727,VALID,5.39844,VALID,2.89844,VALID,47,VALID,60,VALID,28,
2010-07-28, 00:04:04,VALID,9.57623,VALID,70.6732,VALID,4.50601,VALID,1012.64,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,4.13594,VALID,5,VALID,2.89844,VALID,46,VALID,57,VALID,33,
2010-07-28, 00:05:04,VALID,9.55008,VALID,70.9339,VALID,4.5336,VALID,1012.59,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,4.17266,VALID,5.10156,VALID,2.5,VALID,45,VALID,53,VALID,33,
2010-07-28, 00:06:04,VALID,9.51152,VALID,71.3129,VALID,4.57283,VALID,1012.59,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,4.26211,VALID,5,VALID,3.29688,VALID,47,VALID,54,VALID,38,
2010-07-28, 00:07:04,VALID,9.46017,VALID,71.5303,VALID,4.56707,VALID,1012.58,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,4.27695,VALID,5.10156,VALID,3.5,VALID,48,VALID,60,VALID,35,
2010-07-28, 00:08:04,VALID,9.41827,VALID,71.7541,VALID,4.5715,VALID,1012.53,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,4.02187,VALID,4.70313,VALID,3.10156,VALID,47,VALID,59,VALID,37,
