,,,TA_1m,,RH_1m,,DP_1m,,PA_1m,,SR_1m,,PRMeasQMR102_1,,PR_Slide_Sum,,PR_Sum1h,,PR_Sum1h,,GenWind_1m,,GenWind_1m,,GenWind_1m,,GenWind_1m,,GenWind_1m,,GenWind_1m,
date,time,status,Avg,status,Avg,status,DP,status,Avg,status,Avg,status,PR,status,PR_Slide_Sum1h,status,PR_Sum1h_CurrHour,status,PR_Sum1h_PrevHour,status,SpdAvg,status,SpdMax,status,SpdMin,status,DirAvg,status,DirMax,status,DirMin,
2010-07-27, 00:00:04,VALID,9.37671,VALID,67.3543,VALID,3.62888,VALID,1018.74,VALID,-1,VALID,0,VALID,0,INVALID,0,VALID,0,VALID,4.26016,VALID,5.29688,VALID,3.60156,VALID,322,VALID,331,VALID,315,
2010-07-27, 00:01:04,VALID,9.35092,VALID,67.7498,VALID,3.68747,VALID,1018.73,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,4.14063,VALID,4.79688,VALID,3.29688,VALID,324,VALID,333,VALID,313,
2010-07-27, 00:02:04,VALID,9.31856,VALID,68.1338,VALID,3.73692,VALID,1018.72,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,4.26836,VALID,5.29688,VALID,3.70313,VALID,323,VALID,330,VALID,313,
2010-07-27, 00:03:04,VALID,9.27033,VALID,68.2839,VALID,3.72208,VALID,1018.74,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,4.35703,VALID,5.39844,VALID,3.5,VALID,324,VALID,331,VALID,314,
2010-07-27, 00:04:04,VALID,9.29922,VALID,68.0003,VALID,3.69053,VALID,1018.72,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,4.44531,VALID,5.10156,VALID,3.29688,VALID,323,VALID,330,VALID,313,
2010-07-27, 00:05:04,VALID,9.29254,VALID,67.8426,VALID,3.65114,VALID,1018.74,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,4.48594,VALID,5.39844,VALID,3.5,VALID,323,VALID,331,VALID,306,
2010-07-27, 00:06:04,VALID,9.30233,VALID,67.905,VALID,3.67355,VALID,1018.75,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,4.1957,VALID,4.89844,VALID,3.29688,VALID,324,VALID,332,VALID,313,
2010-07-27, 00:07:04,VALID,9.24407,VALID,68.1682,VALID,3.67285,VALID,1018.77,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,4.425,VALID,5.60156,VALID,3.39844,VALID,323,VALID,331,VALID,310,
2010-07-27, 00:08:04,VALID,9.26341,VALID,67.7218,VALID,3.59797,VALID,1018.76,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,4.51758,VALID,5.60156,VALID,3.5,VALID,321,VALID,332,VALID,300,
2010-07-27, 00:09:04,VALID,9.28264,VALID,67.4853,VALID,3.56663,VALID,1018.77,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,4.1375,VALID,5.20313,VALID,3.29688,VALID,321,VALID,329,VALID,310,
2010-07-27, 00:10:04,VALID,9.29266,VALID,67.5731,VALID,3.59466,VALID,1018.8,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,4.53086,VALID,5.20313,VALID,3.79688,VALID,320,VALID,328,VALID,312,
2010-07-27, 00:11:04,VALID,9.25697,VALID,67.6837,VALID,3.5838,VALID,1018.81,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,4.4418,VALID,6,VALID,3.20313,VALID,319,VALID,329,VALID,309,
2010-07-27, 00:12:04,VALID,9.22784,VALID,67.7524,VALID,3.57037,VALID,1018.79,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,4.20937,VALID,5.70313,VALID,3.20313,VALID,319,VALID,327,VALID,305,
2010-07-27, 00:13:04,VALID,9.1956,VALID,67.7244,VALID,3.5337,VALID,1018.8,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,4.42539,VALID,5.70313,VALID,3.20313,VALID,321,VALID,335,VALID,311,
2010-07-27, 00:14:04,VALID,9.16648,VALID,67.6812,VALID,3.4968,VALID,1018.8,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,4.60859,VALID,5.29688,VALID,3.70313,VALID,321,VALID,330,VALID,310,
2010-07-27, 00:15:04,VALID,9.18248,VALID,67.6049,VALID,3.49608,VALID,1018.81,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,4.48711,VALID,5.60156,VALID,3,VALID,319,VALID,329,VALID,308,
2010-07-27, 00:16:04,VALID,9.20205,VALID,67.1611,VALID,3.42129,VALID,1018.8,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,4.76602,VALID,6,VALID,3.70313,VALID,320,VALID,330,VALID,312,
