,,,TA_1m,,RH_1m,,DP_1m,,PA_1m,,SR_1m,,PRMeasQMR102_1,,PR_Slide_Sum,,PR_Sum1h,,PR_Sum1h,,GenWind_1m,,GenWind_1m,,GenWind_1m,,GenWind_1m,,GenWind_1m,,GenWind_1m,
date,time,status,Avg,status,Avg,status,DP,status,Avg,status,Avg,status,PR,status,PR_Slide_Sum1h,status,PR_Sum1h_CurrHour,status,PR_Sum1h_PrevHour,status,SpdAvg,status,SpdMax,status,SpdMin,status,DirAvg,status,DirMax,status,DirMin,
2010-08-01, 00:00:04,VALID,6.01574,VALID,86.6014,VALID,3.94869,VALID,1015.71,VALID,-1,VALID,0,VALID,0,INVALID,0,VALID,0,VALID,3.1457,VALID,3.70313,VALID,2.70313,VALID,224,VALID,231,VALID,215,
2010-08-01, 00:01:04,VALID,5.99335,VALID,86.6764,VALID,3.939,VALID,1015.74,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.94844,VALID,3.70313,VALID,2.39844,VALID,224,VALID,234,VALID,213,
2010-08-01, 00:02:04,VALID,5.97065,VALID,86.6777,VALID,3.91689,VALID,1015.76,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.94961,VALID,3.39844,VALID,2.60156,VALID,224,VALID,230,VALID,218,
2010-08-01, 00:03:04,VALID,5.94482,VALID,86.7349,VALID,3.90088,VALID,1015.77,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.9625,VALID,3.29688,VALID,2.5,VALID,224,VALID,231,VALID,216,
2010-08-01, 00:04:04,VALID,5.9192,VALID,86.9409,VALID,3.90947,VALID,1015.77,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.78477,VALID,3.10156,VALID,2.29688,VALID,224,VALID,229,VALID,219,
2010-08-01, 00:05:04,VALID,5.89981,VALID,87.0413,VALID,3.90684,VALID,1015.78,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.75664,VALID,3.10156,VALID,2.39844,VALID,225,VALID,234,VALID,220,
2010-08-01, 00:06:04,VALID,5.87711,VALID,87.1596,VALID,3.90385,VALID,1015.78,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.6918,VALID,3.20313,VALID,2.29688,VALID,224,VALID,230,VALID,211,
2010-08-01, 00:07:04,VALID,5.88048,VALID,87.2066,VALID,3.91485,VALID,1015.77,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.66875,VALID,3,VALID,2.29688,VALID,226,VALID,232,VALID,221,
2010-08-01, 00:08:04,VALID,5.87734,VALID,87.2728,VALID,3.92255,VALID,1015.76,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.6332,VALID,3,VALID,2.29688,VALID,225,VALID,231,VALID,216,
2010-08-01, 00:09:04,VALID,5.8709,VALID,87.3427,VALID,3.92762,VALID,1015.78,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.68086,VALID,3.39844,VALID,2.29688,VALID,226,VALID,232,VALID,216,
2010-08-01, 00:10:04,VALID,5.88056,VALID,87.4126,VALID,3.94854,VALID,1015.77,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.56133,VALID,3,VALID,2.20313,VALID,227,VALID,235,VALID,220,
2010-08-01, 00:11:04,VALID,5.90288,VALID,87.405,VALID,3.96927,VALID,1015.79,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.64805,VALID,3,VALID,2.29688,VALID,227,VALID,235,VALID,221,
2010-08-01, 00:12:04,VALID,5.94174,VALID,87.3173,VALID,3.99322,VALID,1015.8,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.86289,VALID,3.5,VALID,2.29688,VALID,227,VALID,233,VALID,222,
2010-08-01, 00:13:04,VALID,5.9353,VALID,87.0884,VALID,3.94947,VALID,1015.79,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.81133,VALID,3.20313,VALID,2.60156,VALID,228,VALID,234,VALID,220,
2010-08-01, 00:14:04,VALID,5.9416,VALID,87.2321,VALID,3.97916,VALID,1015.83,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.7625,VALID,3.29688,VALID,2.29688,VALID,228,VALID,234,VALID,219,
2010-08-01, 00:15:04,VALID,5.97395,VALID,87.0362,VALID,3.97896,VALID,1015.82,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.77539,VALID,3.10156,VALID,2.60156,VALID,229,VALID,233,VALID,225,
2010-08-01, 00:16:04,VALID,5.97387,VALID,86.8048,VALID,3.94095,VALID,1015.83,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.85117,VALID,3.20313,VALID,2.60156,VALID,231,VALID,234,VALID,226,
2010-08-01, 00:17:04,VALID,5.96421,VALID,86.8252,VALID,3.93478,VALID,1015.83,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.92148,VALID,3.10156,VALID,2.70313,VALID,229,VALID,234,VALID,226,
2010-08-01, 00:18:04,VALID,5.98039,VALID,86.9828,VALID,3.97655,VALID,1015.84,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.97266,VALID,3.29688,VALID,2.79688,VALID,229,VALID,233,VALID,226,
